"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MYO5A",113.022772392604,0.334558943181216,0.145631148483544,2.29730347295188,0.0216014638235427,0.199644022153908
"RTN4",610.966284417383,0.335004674971704,0.086303468572451,3.88170580525938,0.000103726315837673,0.00368258563833946
"LTBP2",582.060767280305,0.335662365922516,0.0767888300106062,4.37123948725555,1.23543193471813e-05,0.000613548245169654
"SRA1",90.9744839741431,0.337389029674242,0.153398734830108,2.19942511291183,0.0278477085995957,0.232836216729277
"ESYT2",98.6264343404716,0.337401534296744,0.158802008592413,2.12466792635306,0.0336143315546193,0.259758525118678
"COMT",192.539426538893,0.338478628875066,0.0955923220372541,3.54085580997975,0.000398831472720392,0.0106292025682335
"NARF",139.26193485205,0.340069334134928,0.159562847806421,2.1312563595474,0.033068028191308,0.257181909819947
"MICALL1",94.0036857340185,0.340722779434409,0.155432583303688,2.19209365367554,0.0283727449102113,0.235316809899177
"CIRBP",213.637528260677,0.340804449956022,0.120591848145938,2.82609857296147,0.00471187616584188,0.0732919002098122
"CNOT1",223.51671098462,0.34083718397054,0.100316624543771,3.39761415937417,0.000679762195337938,0.0164178502100565
"CSNK1A1",262.290299919439,0.34114927112911,0.110669150848688,3.08260494015668,0.00205197366799528,0.0387400097380605
"METTL26",148.697832082736,0.341277985404464,0.124804293591679,2.73450516471028,0.00624741152834694,0.0882919896680438
"SPTAN1",1006.9644458737,0.341604167960887,0.0710169537897413,4.81017770731576,1.50796167817607e-06,0.000100797049255812
"CCSER2",126.034330666343,0.341966533341797,0.151972970074848,2.25017997064461,0.0244375232117036,0.217093686807418
"CALCOCO2",181.671643290638,0.342416910786533,0.13543884376377,2.5282031452053,0.0114647993860362,0.132746918733824
"ENO2",162.076500370487,0.342820497342997,0.159744521701515,2.1460547985712,0.0318686069781219,0.251652103378962
"RALGAPB",89.1074294707088,0.343764101797886,0.167622595387117,2.05082197303996,0.0402842869147516,0.291830985347287
"AXL",708.903647878848,0.344078873999614,0.0860501623316536,3.99858483326817,6.37223418169751e-05,0.00245479899971562
"C16orf72",239.645139077343,0.344954625432088,0.115709031879822,2.98122471364523,0.00287098039071313,0.050573423805639
"CST3",189.841984955142,0.346026669879788,0.170226530106102,2.03274230911074,0.042078564383395,0.299048004117852
"ZMIZ2",259.876127414191,0.34688018927826,0.142536578897535,2.43362224603146,0.0149485867069162,0.158946021683341
"SPTBN1",325.62065010509,0.346913123112328,0.106030630531168,3.27181986350964,0.00106857636517703,0.0233463168405992
"PRR11",109.822899983966,0.347239519731153,0.125149260063654,2.77460305841631,0.00552691196973678,0.0811707760305998
"FOXP1",103.851464020501,0.347567116072803,0.129823036752314,2.67723760564866,0.00742319714191391,0.0994531482740058
"UBC",1223.23909751481,0.348473283728848,0.119024304010165,2.92774897216864,0.0034142558115779,0.0577574382571441
"R3HDM2",79.1883365420219,0.348699404934761,0.166761200978958,2.09101039622975,0.0365271320519147,0.274252893111097
"MET",146.750268922094,0.348787000756836,0.112408042566367,3.10286517578054,0.00191656932064403,0.0367446453009056
"LRPPRC",130.236211072111,0.349606157849947,0.156683587223991,2.2312876801203,0.0256620792180445,0.223319684454848
"ZNF281",81.2227771036333,0.349803549545053,0.149833770506634,2.33461087151621,0.0195637581065408,0.186526933496903
"UBE2H",185.559368952837,0.350702956849084,0.124858310397138,2.80880748532958,0.00497253718131181,0.0757270871725392
"SLC2A1",114.550000261294,0.351181444693873,0.149981378884172,2.34150030694867,0.0192064101654752,0.184622615317619
"STK24",77.8334046508043,0.35151760732527,0.171864755029652,2.04531526702273,0.040823786519389,0.294208432216172
"SQSTM1",1001.88884323761,0.353327814923368,0.0982603080461041,3.59583459434694,0.000323353217414549,0.00898558626190631
"GPX1",376.370844024484,0.353393127238607,0.0730898933722713,4.83504778750542,1.33113653300222e-06,8.99499145743464e-05
"CCDC90B",63.0101761837123,0.353434480341461,0.179385480802071,1.97025132001308,0.0488095745118427,0.323382377660169
"RNF185",98.5128732671012,0.35364053553888,0.155021611701293,2.28123376900699,0.022534617502523,0.20505009568521
"NUSAP1",87.5526255324211,0.354969341048676,0.139190247067455,2.55024578609052,0.0107646998183801,0.12768915235436
"COL5A2",183.60608784696,0.355323593027785,0.128470738012487,2.76579397398067,0.00567843976982917,0.08261127787495
"VGLL3",100.524696462557,0.35537757171819,0.128430696553412,2.76707657324271,0.00565614680805359,0.0823838768296711
"MARK3",116.331296691079,0.356416740541062,0.146571886550449,2.43168556350939,0.0150287478304852,0.159187950972821
"MCL1",208.018817858879,0.356433395462377,0.125390979991694,2.84257604084431,0.00447505545223267,0.0707940060119552
"SPATS2L",113.450419640776,0.356941330425909,0.119087914574313,2.99729264469714,0.00272389092806687,0.0486055342229076
"FKBP10",160.235717085368,0.359263565608222,0.117297403006989,3.06284330597512,0.00219244829785836,0.0410785085626008
"SOAT1",83.7463311158338,0.36212892352148,0.164054998392145,2.20736293968852,0.0272887133575943,0.229897675345463
"HSP90B1",1557.12868312753,0.362557282638082,0.0662542379547019,5.47221270412864,4.44450920949207e-08,4.21416943152449e-06
"SEPTIN11",458.469593332859,0.362638785895515,0.0991168215948775,3.65870071356543,0.000253497166410871,0.00743313622348264
"STAT2",106.577233095496,0.36327907984953,0.14314945198752,2.53776088420653,0.0111564181520003,0.130541767316892
"RPAIN",85.1909529150048,0.363471916385691,0.180073632987901,2.01846272746722,0.0435430922125885,0.304377185651675
"ZMYM4",65.9281651199633,0.363732531802392,0.157437206168391,2.31033400969624,0.0208696694325402,0.194532282781401
"IRS2",107.812916009357,0.364267506842828,0.18223530333226,1.99888550781337,0.0456207431153521,0.311148487234526
"DPYSL2",253.68400503905,0.364874030513168,0.0892048848374838,4.09029204149421,4.30830358127681e-05,0.00179382094565889
