"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SLC22A18",23.4961948797016,1.19195207533262,0.328229371671148,3.63146073510699,0.000281821540221661,0.00810466317763036
"NBR2",11.6632957184565,1.19208505483907,0.421607882255756,2.8274733585648,0.00469169191128949,0.0731619951765521
"PLK3",37.0454332366439,1.19335683962989,0.25102045179027,4.75402235602281,1.99408973205451e-06,0.000130470442468709
"GOT1",101.108899746571,1.19440419326143,0.145326239619228,8.21877863482131,2.05586116100252e-16,4.88899598403023e-14
"TMED9",252.316905956686,1.19596819722353,0.252681305601166,4.73310914069463,2.21106519271412e-06,0.000142406417568244
"GARS",416.178078298519,1.20768010455292,0.0787403424115884,15.3375013057498,4.29408197511382e-53,4.42505147535479e-50
"CARS",149.283704675094,1.20902863870156,0.114121228689534,10.5942483496275,3.16876330683219e-26,1.35120438111334e-23
"TP53INP1",24.6241449740499,1.21302001741476,0.294332528926944,4.12125707558419,3.76810662989814e-05,0.00161793078421251
"SMOX",28.4636574963655,1.21812440156438,0.346272659647607,3.51781859648994,0.000435109693316972,0.0113995052278764
"MTFR2",7.61292099082539,1.2198997661468,0.544679020518221,2.23966725391067,0.0251125329769563,0.220236481936396
"INKA2",9.03942844152324,1.22908340580159,0.552033570966074,2.22646496598143,0.0259830531172201,0.2245327986356
"ZNF277",31.8123949347565,1.23467250421826,0.360555638592428,3.42436054817586,0.000616248027928132,0.0152410462267186
"DNAJB9",15.9140477477911,1.2384934889387,0.38710337043238,3.19938699462976,0.00137720166208791,0.0280615950978401
"EPB41L4A-AS1",35.4290979975855,1.24087998519334,0.264612724884494,4.68941917186709,2.73981630197989e-06,0.000172860042807568
"KLF9",23.8886388213244,1.24095138613718,0.379427000113522,3.27059325184,0.0010732215166934,0.0234064502212179
"AC106886.5",64.5563836219452,1.24118931857868,0.335545010727586,3.69902480709612,0.000216429448709753,0.00669091640686202
"AC020909.3",14.0425014839446,1.24157659402891,0.53423186177464,2.32404070753955,0.020123312379613,0.190290201993974
